ID;RNT;NOMBRE COMERCIAL;TIPO;DIRECCION;LOCALIDAD;TELEFONO;E MAIL;PAGINA WEB;RANGO TARIFA;ZONA;ESTADO
26;13621;SUITES INN ECONÓMICAS CALLE 63;HOTEL;CL 63 B 21 30;BARRIOS UNIDOS;2492160 - 2492077 - 2492289;economicas63@gmail.com;www.hotelbogotainn.com;Entre $ 60.001 y $ 150.000;No Pertenece a ZIT;
27;13343;HOTEL 63 INN EJECUTIVO;HOTEL;CL 63 D 21 26;BARRIOS UNIDOS;2116459 - 7495314 - ;hotel_63in_ejecutivo@hotmail.com;www.hotelesejecutivobogota.com;Menos de $ 60.000;No Pertenece a ZIT;
29;15485;HOTEL ELEGANT SUIT NORMANDIA;HOTEL;AV BOYACÁ 51 62;ENGATIVÁ;4838338 - 2630987 - ;hotelelegantsuitenormandia@hotmail.com;www.hotelelegantsuite.net;Entre $ 60.001 y $ 150.000;No Pertenece a ZIT;
30;9945;HOTEL DEL PUENTE BOGOTÁ;HOTEL;AV BOYACÁ 48 A 04/02;ENGATIVÁ;2958228 - 2958208 - ;hoteldelpuentebogota@hotmail.com;www.hoteldelpuentebogota.com;Menos de $ 60.000;No Pertenece a ZIT;
31;12905;HOTEL SAN JOSÉ BAVARIA 1;HOTEL;CL 12 71 D 60;KENNEDY;2925026 - 4126025 - ;hotelsanjosebavaria@hotmail.com;NA;Menos de $ 60.000;No Pertenece a ZIT;
41;5381;HOTEL BOGOTÁ ROYAL;HOTEL;KR 8 A 99 55;CHAPINERO;6341734 - 6004100 - ;reservas@hotelbogotaroyal.com;www.hotelesroyal.com;Entre $ 150.001 y $ 350.000;Calle 100;
42;4280;LA MANSIÓN HOTEL;HOTEL;KR 17 102 47/51;USAQUÉN;2578037 - 2578017 - 2568038;reservas@hotellamansionbogota.com;www.hotellamansionbogota.com;Entre $ 150.001 y $ 350.000;No Pertenece a ZIT;
43;1028;RADISSON ROYAL BOGOTÁ HOTEL;HOTEL;CL 113 7 65;USAQUÉN;6578700 - 6578709 - ;reservas@radissonroyal.com;www.radisson.com/bogota.co;Más de $ 350.001;Usaquen;
44;118;HOTEL CHARLESTON BOGOTÁ;HOTEL;KR 13 85 46;CHAPINERO;2571100 -  - ;info@hotelescharleston.com;www.hotelescharleston.com;Más de $ 350.001;No Pertenece a ZIT;
47;4054;HOTEL CASONA DEL PATIO;HOTEL;KR 8 69 24;CHAPINERO;2128805 -  - ;reservas@lacasonadelpatio.net;www.lacasonadelpatio,net;Entre $ 60.001 y $ 150.000;No Pertenece a ZIT;
48;8245;HOTEL BOGOTÁ REGENCY (REGENCY SUITES);HOTEL;KR 7 127 21;USAQUÉN;5921777 -  - ;reservas@hotelregency.com.co;www.hotelregency.com;Entre $ 150.001 y $ 350.000;No Pertenece a ZIT;
49;4351;HOTEL EGINA;HOTEL;KR 14 A 119 16;USAQUÉN;6371610 -  - ;info@lemanoir-egina.com;www.lemanoir-egina.com;Entre $ 150.001 y $ 350.000;No Pertenece a ZIT;
50;2367;NUEVO HOTEL RINCÓN SANTA BARBARA;HOTEL;CL 126 7 A 19;USAQUÉN;6201397 -  - ;vesntas@rincondesantabarbara.com;www.rincondesantabarbara.com;Entre $ 150.001 y $ 350.000;No Pertenece a ZIT;
51;15060;CASABLANCA 121;HOTEL;CL 121 7 A 66;USAQUÉN;5938794 -  - ;reservas@hbybhotels.com;www.hbybhotels.com;Entre $ 150.001 y $ 350.000;No Pertenece a ZIT;
52;7678;HOTEL HILL HOUSE;APARTA HOTEL;CL 120 A 6 54;USAQUÉN;2133434 -  - ;reservas@hotelhillhouse.com.co;www.hotelhillhouse.com.co;Más de $ 150.001;Usaquen;
55;7012;SANTAFE BOUTIQUE HOTEL;HOTEL;CL 116 15 64;USAQUÉN;5942400 -  - ;reservas@santafeboutique.com;www.santafeboutique.com;Entre $ 150.001 y $ 350.000;No Pertenece a ZIT;
56;10028;HOTEL SUITE 114;HOTEL;CL 114 11 A 59;USAQUÉN;2148073 - 2148120 - ;hsuite114@gmail.com;www.suitehotel114.com;Entre $ 60.001 y $ 150.000;No Pertenece a ZIT;
57;6021;HOTEL HACIENDA ROYAL;HOTEL;CL 114 6 02;USAQUÉN;6578950 - 6578900 - ;cmorales@haciendaroyal.com;www.haciendaroyal.com;Más de $ 350.001;Usaquen;
58;1628;HOTEL DANN NORTE;HOTEL;KR 15 112 09;USAQUÉN;6374377 - 2152844 - ;servcioalcliente@dannnorte.comco;www.hotelesdann.com;Entre $ 150.001 y $ 350.000;No Pertenece a ZIT;
59;11209;APARTAHOTEL CASA DE SIÓN;APARTA HOTEL;KR 14 B 111 19;USAQUÉN;2143675 - 2143942 - 6205814;apartahotelcasadesion@hotmail.com;www.casadesion.com;Menos de $ 150.000;No Pertenece a ZIT;
61;3865;LANCASTER HOUSE CORPHOTELES;APARTA HOTEL;AK 45 106 B 28;USAQUÉN;6291100 -  - 2142772;reservas@lancasterhouse.com.co;www.lancasterhouse.com.co;Más de $ 150.001;No Pertenece a ZIT;
62;9858;CASONA REAL HOTEL;HOTEL;CL 106 14 49;USAQUÉN;2140179 -  - ;reservas@casonareal.com.co;www.casonareal.com.co;Entre $ 60.001 y $ 150.000;No Pertenece a ZIT;
64;4043;HOTEL BALCONES DE MIRANDA  ;HOTEL;KR 8 D 106 78;USAQUÉN;6203678 - 6203735 - ;hotelbalconesdemiranda@yahoo.es;www.hotelbalconesdemiranda.com;Entre $ 60.001 y $ 150.000;No Pertenece a ZIT;
67;17610;104 ART SUITES;APARTA HOTEL;KR 18 A 104 77;USAQUÉN;6025959 -  - ;e.commerce@104artsuites.com;NA;Más de $ 150.001;No Pertenece a ZIT;
68;745;HOTEL DANN CARLTON BOGOTÁ;HOTEL;AV 15 103 60;USAQUÉN;6350010 - 6461888 - 18000943266;angela.bueno@hotelesdann.com - centralreservas@hotelesdann.com;NA;Entre $ 150.001 y $ 350.000;No Pertenece a ZIT;
69;6064;HOTEL LE MANOIR;HOTEL;CL 105 17 A 82;USAQUÉN;2133980 -  - ;info@lemanoir-egina.com;www.lemanoir-egina.com;Entre $ 150.001 y $ 350.000;No Pertenece a ZIT;
71;13709;CASA RINCÓN DEL CHICO INTERNACIONAL;ALOJAMIENTO RURAL;CL 101 13 32;USAQUÉN;2147430 - 2158637 - 2159855;hotelrincondelchico1@hotmail.com;www.rincondelchico.com;Entre $ 60.001 y $ 150.000;Calle 100;
72;5969;HOTEL SUITE CHICO II HOUSE;HOTEL;CL 101 13 A 23;USAQUÉN;7420410 - 2155530 - ;reservas@hotelsuitechico.com.co;www.hotelsuitechico.com.co;Entre $ 150.001 y $ 350.000;Calle 100;
73;11211;HOTEL LE MIRAGE;HOTEL;KR 14 A 102 12;USAQUÉN;2570412 - 2561955 - 6103036;hotellemiragebta@gmail.com;www.hotellemirageltda.com;Entre $ 60.001 y $ 150.000;No Pertenece a ZIT;
74;3313;BOGOTÁ PLAZA SUMMIT HOTEL;HOTEL;CL 100 18 A 30;CHAPINERO;6322200 -  - ;dr@bogotaplazahotel.com;www.bogotaplazahotel.com;Entre $ 150.001 y $ 350.000;Calle 100;
75;5982;101 PARK HOUSE;APARTA HOTEL;KR 21 101 10;USAQUÉN;6000101 - 6001087 - 6001828;reservas@101parkhouse.com;www.101parkhouse.com;Menos de $ 60.000;No Pertenece a ZIT;
76;5032;HOTEL ANDES PLAZA;HOTEL;AK 15 100 11;USAQUÉN;3148180 -  - ;andesplaza@doradoplaza.com;www.hotelandesplaza.co;Entre $ 150.001 y $ 350.000;Calle 100;
77;1810;GHL CONFORT HOTEL EL BELVEDERE - INVERSIONES BELVEDERE LTDA;HOTEL;KR 17 A 100 16;USAQUÉN;2577700 -  - ;reservas.belvedere@ghlhoteles.com;www.ghlhoteles.com;Entre $ 150.001 y $ 350.000;Calle 100;
80;13321;HOTEL GRAND HOUSE;HOTEL;KR 18 93 97;CHAPINERO;4034000 -  - ;recepcion@hotelgh.com - ventas@hotelgh.com;NA;Entre $ 150.001 y $ 350.000;Parque 93;
82;3288;HOTEL GHL HAMILTON COURT;HOTEL;KR 14 81 20;CHAPINERO;6215455 -  - ;hotel.hamilton@ghlhoteles.com;www.ghlhoteles.com;Entre $ 150.001 y $ 350.000;Calle 82;
84;5895;GHL CONFORT HOTEL LOS HEROES;HOTEL;CL 74 15 60;CHAPINERO;3175959 -  - ;hotel.losheroes@ghlhoteles.com;www.ghlhoteles.com;Entre $ 150.001 y $ 350.000;No Pertenece a ZIT;
85;7110;CASABLANCA 93;HOTEL;CL 93 18 11;CHAPINERO;5938794 -  - ;reservas@hbybhotels.com;www.hbybhotels.com;Entre $ 150.001 y $ 350.000;Parque 93;
86;23784;HOTEL BOGOTÁ ROYAL SUITE;HOTEL;CL 53 10 78;CHAPINERO;3479835 - 3473955 - 3108524911;reservasbogotaroyalsuite@gmail.com;www.hotelbogotaroyalsuite.com;Menos de $ 60.000;No Pertenece a ZIT;
88;15591;HOTEL BH EL RETIRO;HOTEL;CL 80 10 11;CHAPINERO;7563177 -  - ;recepcionelretiro@bhhoteles.com;www.bhhoteles.com;Entre $ 150.001 y $ 350.000;Nogal;
89;17366;HOTEL BH LA QUINTA;HOTEL;KR 5 74 52;CHAPINERO;7424908 -  - ;recepcionlaquinta@bhhoteles.com;www.bhhoteles.com;Entre $ 150.001 y $ 350.000;No Pertenece a ZIT;
90;22229;CELEBRITIES SUITES - MODERNO PARK SA;VIVIENDA TURÍSTICA;CL 74 10 33;CHAPINERO;6011414 - 6012604 - 6012606;reserva@celebritiessuites.com;www.celebritiessuites.com;Entre $ 150.001 y $ 350.000;No Pertenece a ZIT;
92;11041;HOTEL CASA FALCON;HOTEL;CL 69 11 A 64;CHAPINERO;2110491 -  - ;jcartagena64@gmail.com;www.hotelcasafalcon.com;Entre $ 60.001 y $ 150.000;Calle 72;
93;7105;APARTAMENTOS LAGO 76;APARTA HOTEL;KR 15 76 15;CHAPINERO;6913720 - 2366458 - 2366494;ap_hotelago76@yahoo.com - apartahotel_76@hotmail.com;www.lago76.com;Menos de $ 150.000;No Pertenece a ZIT;
95;4668;HOTEL INTER BOGOTÁ;HOTEL;KR 3 20 17;SANTA FE;3417057 - 2837631 - ;servicioalcliente@interbogotahotel.com;www.interbogotahotel.com;Entre $ 60.001 y $ 150.000;No Pertenece a ZIT;
96;16585;HOTEL CLAUDIA DEL CENTRO;HOTEL;KR 8 17 66;SANTA FE;3422727 -  - ;hospedajeclaudia@hotmail.com;NA;Menos de $ 60.000;Candelaria;
98;4285;HOTEL MONSERRAT SPA VITAL;HOTEL;KR 3 20 35;SANTA FE;2868685 - 3418947 - ;monserratspavitalltda@hotmail.com;www.hotelmonserratspa.net;Entre $ 60.001 y $ 150.000;No Pertenece a ZIT;
101;14575;CASA DE HUESPEDES SANTA MARÍA HOTEL;HOTEL;KR 45 24 B 09;TEUSAQUILLO;3680516 - 6380517 - 3102389983;casahuespedessantamaria@yahoo.com;www.hotelcercaalaembajada.net - www.hotelcercaalaembajada.com;Entre $ 60.001 y $ 150.000;Quinta Paredes;
103;1410;HOTEL SOFITEL BOGOTÁ VICTORIA REGIA - PROMOTORA Y OPERADORA DE HOTELES PROMOTEL ;HOTEL;KR 13 85 80;CHAPINERO;6212666 -  - ;reservas.bogota@sofitel.com - reservas@sofitel.com;www.sofitel.com;Más de $ 350.001;No Pertenece a ZIT;
104;6958;HOTEL ESTRELLA LA 23;APARTA HOTEL;CL 23 7 86;SANTA FE;3418790 - 3133026578 - ;hotelestrellala23@hotmail.com;www.hotelestrellala23.com;Menos de $ 150.000;No Pertenece a ZIT;
105;11149;HOTEL MANILA PLAZA;HOTEL;CL 17 8 23;SANTA FE;2439013 - 3413308 - 3105792043;hotelmanilaplaza@gmail.com;NA;Menos de $ 60.000;Candelaria;
106;9169;HOTEL AMERICANO;HOTEL;CL 23 9 18;SANTA FE;3413000 - 3346237 - ;info@hotelamericanobogota.com - inversionesyhoteles@hotmail.com;www.hotelamericanobogota.com;Menos de $ 60.000;No Pertenece a ZIT;
107;12903;HOTEL EL DUQUE CENTRO INTERNACIONAL;HOTEL;CL 23 9 38;SANTA FE;3340080 - 3340081 - ;hotel.duque@hotmail.com;www.hotelelduqueci.com;Menos de $ 60.000;No Pertenece a ZIT;
111;4374;HOTEL EUROPA VIEJO;HOTEL;CL 23 13 30;SANTA FE;2436625 - 2811938 - ;hotel-europa@hotmail.com;NA;Menos de $ 60.000;No Pertenece a ZIT;
115;9946;GUN CLUB;HOTEL;KR 8 16 28;SANTA FE;2811283 - 3133434731 - ;;NA;Menos de $ 60.000;Candelaria;
120;17560;A MI REFUGIO CASA CULTURAL Y DE HUESPEDES ;HOTEL;KR 19 33 21;TEUSAQUILLO;2872489 -  - ;amirefugiohostal@gmail.com;www.amirefugio.org;Menos de $ 60.000;No Pertenece a ZIT;
121;4968;HOTEL LOS CERROS;HOTEL;CL 19 9 18;SANTA FE;3416068 - 2838438 - ;hotel_los_cerros@hotmail.com;NA;Menos de $ 60.000;No Pertenece a ZIT;
124;7577;HOTEL DEL PARQUE SUPERIOR;HOTEL;KR 5 23 34;SANTA FE;3363600 - 2842200 - ;reservas@hoteldelparquesuperior.co;www.hoteldelparquesuperior.co;Entre $ 60.001 y $ 150.000;No Pertenece a ZIT;
125;7748;HOTEL SAN FRANCISCO DE ASIS;HOTEL;KR 10 23 63;SANTA FE;2861677 -  - ;info@sfbogota.com;www.hotelsanfranciscodeasis.com;Entre $ 60.001 y $ 150.000;No Pertenece a ZIT;
129;6657;HOTEL LA SABANA;HOTEL;CL 23 5 23;SANTA FE;2844830 -  - ;hotel_lasabana@hotmail.com;www.hotellasabana.com;Entre $ 60.001 y $ 150.000;No Pertenece a ZIT;
132;6948;HOTEL LIDO;HOSTAL;CL 11 9 45 ;CANDELARIA;3412582 -  - ;lidoplazahotel@hotmail.com;NA;Menos de $ 60.000;Candelaria;
133;11490;ABADIA COLONIAL (ROMA);HOTEL;CL 11 2 32;CANDELARIA;3411884 -  - ;abadiacolonial@gmail.com;www.abadiacolonial.com;Entre $ 60.001 y $ 150.000;Candelaria;
134;5029;HOTEL DE LA OPERA - INVERSIONES LA OPERA S A;HOTEL;CL 10 5 72 ;CANDELARIA;3362066 -  - ;manager@hotelopera.com.co - sales@hotelopera.com.co;www.hotelopera.com.co;Entre $ 150.001 y $ 350.000;Candelaria;
136;16842;ALEGRIA´S HOSTEL;HOTEL;CL 9 2 13;CANDELARIA;2868047 - 2823168 - ;alegriamesa@hotmail.com;www.alegriashostel.com;Menos de $ 60.000;Candelaria;
137;13877;POSADA ANANDA MAYI;HOTEL;CL 9 2 81;CANDELARIA;3417208 - 3340419 - ;anandamayihostel@yahoo.com;www.anandamayihostel.com;Menos de $ 60.000;Candelaria;
139;11470;HOTEL AVENIDA JIMÉNEZ;HOTEL;AV JIMÉNEZ 4 69;CANDELARIA;2436685 - 2867303 - ;havjimenez@gmail.com;www.hotelavenidajimenez.com;Menos de $ 60.000;Candelaria;
142;6839;HOTEL AMBALÁ BOGOTÁ COLONIAL;HOTEL;KR 5 12 B 46;CANDELARIA;3426384 - 3412376 - 3376593;info@hotelambala.net;www.hotelambala.net;Entre $ 60.001 y $ 150.000;Candelaria;
143;481;HOTEL INTERNACIONAL;HOTEL;KR 5 12 C 45;LOS MARTIRES;3418731 - 3418336 - ;hotelinternacionalbogota@hotmail.com;www.hotelinternacionalbogota.com;Menos de $ 60.000;Candelaria;
144;16378;HOSTAL SUE CANDELARIA;HOTEL;KR 3 12 C 18;CANDELARIA;3412647 - 3144640774 - ;hostalsuecandelaria@yahoo.com;www.suecandelaria.com;Menos de $ 60.000;Candelaria;
146;4551;HOTEL EL DORADO;HOTEL;KR 4 12 D 02;CANDELARIA;3343988 - 2817271 - ;doradohotel@hotmail.com;NA;Menos de $ 60.000;Candelaria;
147;16379;HOSTAL SUE E.U.;HOTEL;CL 12 F 2 55;CANDELARIA;3348894 -  - ;hostalsue@yahoo.com;www.suecandelaria.com;Menos de $ 60.000;Candelaria;
149;16333;THE HOSTAL CRANKYCROC;HOTEL;CL 12 D 3 46;CANDELARIA;3422438 - 3144275299 - ;info@crankycroc.com;www.crankycroc.com;Menos de $ 60.000;Candelaria;
150;16513;HOSTAL FATIMA;HOTEL;CL 12 C 2 24;CANDELARIA;2816389 - 2810071 - ;contacto@hostalfatima.com;www.hostalfatima.com;Menos de $ 60.000;Candelaria;
153;14832;CASA POSADA AMELIA SAN FELIPE EL DORADO;HOTEL;KR 73 B BIS 24 D 85;FONTIBON;4105644 - 3163753486 - ;casaposadaamelia@gmail.com;casaposadaamelia.wix.com/bogota;Menos de $ 60.000;No Pertenece a ZIT;
158;13807;HABITEL;HOTEL;AC 26 100 97 ;FONTIBON;4199999 - 3105631311 - ;reservas@hotelhabitel.com;info@hotelhabitel.com;Más de $ 350.001;No Pertenece a ZIT;
159;813;GHL HOTEL CAPITAL;HOTEL;CL 25 B 69 A 50;FONTIBON;4233000 -  - ;reservas.capital@ghlhoteles.com;hotel.capital@ghlhoteles.com;Entre $ 150.001 y $ 350.000;Ciudad Salitre;
160;6974;HOTEL SHERATON BOGOTÁ;HOTEL;CL 25 B 69 C 80;FONTIBON;2105000 -  - ;reservas@sheratonbogota.com - hotel.sheratonbogota@ghlhoteles.com;www.sheratonbogota.com - www.ghlhoteles.com;Entre $ 150.001 y $ 350.000;Ciudad Salitre;
161;5215;HOTEL A.R.V.;HOTEL;CL 17 96 C 32;FONTIBON;2670845 - 3134287725 - ;hotel_arv@hotmail.com;NA;Menos de $ 60.000;No Pertenece a ZIT;
163;5349;HOTEL HYNTIVA;HOTEL;KR 98 17 36;FONTIBON;2670367 - 5451203 - ;jairopico1@hotmail.com;NA;Menos de $ 60.000;No Pertenece a ZIT;
165;5398;HOTEL LOS CAMBULOS;HOTEL;KR 96 C 17 38;FONTIBON;2679973 - 2673387 - 3132913396;NA;NA;Menos de $ 60.000;No Pertenece a ZIT;
167;11459;HOTEL ESCORIAL FONTIBÓN EN SUCESIÓN;HOTEL;CL 17 96 C 15;FONTIBON;2981150 - 2672951 - 4188241;hotelescorial@hotmail.com;NA;Menos de $ 60.000;No Pertenece a ZIT;
169;10026;CASA BLANCA 98 HOTEL;HOTEL;CL 17 A 97 83;FONTIBON;4186098 -  - ;NA;NA;Menos de $ 60.000;No Pertenece a ZIT;
181;4355;HOTEL FONTIBÓN;HOTEL;CL 17 97 10;FONTIBON;2679728 - 2679828 - ;servicioalcliente@hotelfontibon.com;www.hotelfontibon.com;Menos de $ 60.000;No Pertenece a ZIT;
183;1484;HOTEL RESIDENCIA ESPAÑA;HOTEL;KR 7 23 20;SANTA FE;3421396 - 7503736 - 3134229479;hotel_107@hotmail.com;NA;Menos de $ 60.000;No Pertenece a ZIT;
184;12525;HOSTAL BOGOTÁ REAL;HOTEL;CL 103 B 46 05;SUBA;6348094 - 3112121599 - ;info@hostalbogotareal.com;www.hostalbogotareal.com;Entre $ 60.001 y $ 150.000;No Pertenece a ZIT;
185;396;HOTEL DANN AV 19 - INVERSIONES SPIWAK LTDA;HOTEL;AV 19 5 72;LOS MARTIRES;2840100 -  - ;lina.medellin@hotelesdann.com - centralreservas@hotelesdann.com;www.hotelesdann.com;Entre $ 60.001 y $ 150.000;No Pertenece a ZIT;
188;21074;HOTEL FERROVIAL;HOTEL;KR 40 22 59;PUENTE ARANDA;2695559 - 2695555 - ;recepcion@hotelferrovialinn.com - reservas@hotelferrovialinn.com;www.hotelferrovialinn.com;Entre $ 60.001 y $ 150.000;Quinta Paredes;
189;13619;HOTEL QUINTA PAREDES INN;HOTEL;KR 40 22 69;PUENTE ARANDA;2441533 - 2441535 - ;hotelqp@hotmail.com - hotelquintaparedesinn@yahoo.com;www.hotelquintaparedesinn.com;Entre $ 60.001 y $ 150.000;Quinta Paredes;
193;3411;NUEVO HOTEL TEUSAQUILLO;HOTEL;KR 16 28 A 24;TEUSAQUILLO;2457996 - 6055515 - 2857960;hteusaquillo@etb.net.co;NA;Menos de $ 60.000;No Pertenece a ZIT;
196;11315;HOSTAL DE FEDERMAN;HOTEL;KR 38 56 38;TEUSAQUILLO;2225531 -  - ;contactenos@hostaldefederman.com;www.hostaldefederman.com;Entre $ 60.001 y $ 150.000;No Pertenece a ZIT;
198;11491;APARTAMENTOS GALERIAS 52;APARTA HOTEL;KR 30 52 38;TEUSAQUILLO;2486652 - 2486521 - 3477130;galerias51@gmail.com;www.apartamentosgalerias.com;Menos de $ 150.000;No Pertenece a ZIT;
199;4232;HOTEL EMBAJADOR;HOTEL;CL 37 18 A 49;TEUSAQUILLO;2458078 - 2452842 - 2322636;hotelembajador01@hotmail.com;www.hotelembajador.com.co;Menos de $ 60.000;Teusaquillo;
200;3402;HOTEL SUAMOX;HOTEL;CL 38 16 07;TEUSAQUILLO;2870065 - 2329812 - 3123869128;reservas@hotelsuamox.com;www.hotelsuamox.com;Entre $ 60.001 y $ 150.000;Teusaquillo;
201;19911;HOTEL INNOVA MASTER CENTRO INTERNACIONAL;HOTEL;CL 34 7 87;SANTA FE;2887007 -  - ;reservas@hotelesinnova.com;www.hotelesinnova.com;Entre $ 60.001 y $ 150.000;Centro Internacional;
202;7076;HOTEL VILLA KARINA;HOTEL;CL 30 17 47;TEUSAQUILLO;2871445 - 2870953 - 2871298;hotelvillakarina@yahoo.es;NA;Menos de $ 60.000;No Pertenece a ZIT;
203;7617;HOTEL CAVIAR;HOTEL;KR 19 39 A 18;TEUSAQUILLO;2870870 -  - ;reservas@hotelcaviar.com;www.hotelcaviar.com;Entre $ 60.001 y $ 150.000;Teusaquillo;
204;15006;CASA KOLPING BOGOTÁ;HOTEL;KR 16 35 41;TEUSAQUILLO;2453223 -  - ;ckolpingbogta@etb.net.co;www.kolpingcolombia.com;Entre $ 60.001 y $ 150.000;Teusaquillo;
205;9027;HOTEL AMERICAN DREAM AND EVENTS;HOTEL;AV 40 25 28;TEUSAQUILLO;2643309 -  - ;reservas@hotelamericandream.com;www.hotelamericandream.com;Entre $ 60.001 y $ 150.000;Quinta Paredes;Suspendido
206;10686;HOTEL COLOMBIANS SUITE INTERNATIONAL;HOTEL;KR 43 A 24 C 06;TEUSAQUILLO;7441010 -  - ;reservas@hotelcolombiansuite.com;www.hotelescsi.com;Entre $ 60.001 y $ 150.000;Quinta Paredes;
207;24476;HOTEL CASA AMERICANA;HOTEL;CL 24 D 44 A 73;TEUSAQUILLO;2698875 - 5792287 - 4781570;reservas@hotelcasaamericana.com;www.hotelcasaamericana.com;Entre $ 60.001 y $ 150.000;Quinta Paredes;
208;9644;HOTEL CASA LA EMBAJADA COLONIAL;HOTEL;KR 44 A 24 A 60;TEUSAQUILLO;2447994 - 2694422 - ;hotelcasalaembajadacolonial@gmail.com;NA;Entre $ 60.001 y $ 150.000;Quinta Paredes;
211;10157;HOTEL CASA FORTEL;HOTEL;CL 22 B 44 C 09;TEUSAQUILLO;2696058 - 3134775051 - ;reservas@casafortel.com;NA;Entre $ 60.001 y $ 150.000;Quinta Paredes;
215;7379;HOTEL CASA LA EMBAJADA;HOTEL;CL 24 D 44 A 97;TEUSAQUILLO;2694838 - 5720260 - ;reservaslaembajada@gmail.com;www.hotelcasaembajada.com;Entre $ 60.001 y $ 150.000;Quinta Paredes;
217;17027;HOTEL SALITRE RUGAL;HOTEL;AC 24  40 71;TEUSAQUILLO;8051408 - 3689403 - ;reservas@hotelsalitrerugal.com;www.hotelsalitrerugal.com;Entre $ 60.001 y $ 150.000;Quinta Paredes;
218;13249;HOTEL PLATINUM SUITE;HOTEL;AC 24 40 76;TEUSAQUILLO;3378080 - 2685627 - ;reservas@hotelplatinumsuite.com.co;www.hotelplatinumsuite.com.co;Entre $ 150.001 y $ 350.000;Quinta Paredes;
220;15720;HOTEL SAN PABLO;HOTEL;CL 26 38 A 11;TEUSAQUILLO;3694700 -  - ;reservas@sanpablohotel.com - operacion@sanpablohotel.com;www.sanpablohotel.com;Entre $ 150.001 y $ 350.000;No Pertenece a ZIT;
222;9448;HOTEL CASA SANTA MARTA;HOTEL;KR 43 22 A 91;TEUSAQUILLO;3691876 - 3687163 - ;hotelcasasantamarta@gmail.com;NA;Entre $ 60.001 y $ 150.000;Quinta Paredes;
224;8734;HOTEL TURÍSTICO INTERNACIONAL GRAN AMÉRICA;HOTEL;CL 24 32 86;TEUSAQUILLO;2694903 - 5707725 - 3685348;hgranamerica@hotmail.com;NA;Entre $ 60.001 y $ 150.000;No Pertenece a ZIT;
225;4336;HOTEL TEUSACA AC;HOTEL;DG 33 BIS A 14 64;TEUSAQUILLO;5606085 - 2323556 - 2323722;teusaca_185@hotmail.com;www.hotelteusacac.inf.travel;Menos de $ 60.000;No Pertenece a ZIT;
226;16722;POSADA COLOMBIANA  'EN SUCESIÓN' ;HOTEL;DG 33 14 44;TEUSAQUILLO;6052170 - 6050370 - 3167446558;info@posadacolombiana.com;NA;Menos de $ 60.000;No Pertenece a ZIT;
