FECHA DE CORTE;NUMERO_LOCALIDAD;NOMBRE_LOCALIDAD;DANE12_ESTABLECIMIENTO_EDUCATIVO;NOMBRE_ESTABLECIMIENTO_EDUCATIVO;NIT;DANE12_SEDE_EDUCATIVA;NOMBRE_SEDE_EDUCATIVA;CONSECUTIVO;ORDEN DE SEDE;SECTOR;CLASE;NATURALEZA JURIDICA;ZONA;DIRECCION;BARRIO;TELEFONO;FAX;EMAIL;WEB;CODIGO POSTAL;CALENDARIO;GENERO;JORNADAS;NIVELES;GRADOS PREESCOLAR;GRADOS BASICA PRIMARIA;GRADOS BASICA SECUNDARIA;GRADOS MEDIA;MODELO PEDAGOGICO PREESCOLAR;MODELO PEDAGOGICO BASICA PRIMARIA;MODELO PEDAGOGICO BASICA SECUNDARIA;MODELO PEDAGOGICO MEDIA;CARACTER PARA LA MEDIA;ESPECIALIDAD PARA LA MEDIA;ENFASIS PARA EL CARACTER ACADEMICO DE LA MEDIA;DISCAPACIDAD POR CATEGORIA;TALENTOS O CAPACIDADES EXCEPCIONALES;GRUPOS ETNICOS;SITUACION DE CONFLICTO;BILINGUE;ESTRATO_GEO;No_UPZ;NOMBRE_UPZ;SECTOR_CENSAL;X;Y;RESOLUCIONES LICENCIA DE FUNCIONAMIENTO-INTEGRACION-OTRAS (DD-MM-AAAA)
JUNIO 30 - 2014;1;USAQUEN;111001086681;COLEGIO NUEVO HORIZONTE (IED);;111001086681;NUEVO HORIZONTE;01;A;OFICIAL;DISTRITAL;OFICIAL;URBANA;KR 5 B # 189 B - 30;BUENAVISTA;6793861-6796685;6793861 -- 6796685 -- 6793867;cednvohorizonte1@redp.edu.co;Z-NO INFORMA;110141;A;MIXTO;MAÑANA-TARDE;BASICA SECUNDARIA-MEDIA;;;6,7,8,9;10,11;;;EDUCACION TRADICIONAL;EDUCACION TRADICIONAL;ACADEMICO;ACADEMICA;Z-NO INFORMA;VISUAL-COGNITIVA;;AFROCOLOMBIANO;;;2;9;VERBENAL;8532;105764,89;118871,53;RES 7437 13 NOV 1998 RECONOCIMIENTO OFICIAL PARA EXPEDIR TITULO DE BACHILLER - 3629 12 NOV 1999 RECONOCIMIENTO OFICIAL - 2953 14 SEP 2011 AUTORIZA CONDICIONES ADMINISTRATIVAS Y ACADEMICAS - 2143 (22-07-2002) INTEGRACION -4369 27 DIC 2002 ADOPCION NOMBRE -4876 AUTORIZA ABRIR NUEVOS GRADOS - ACUERDO 2 DE 1996 FORMALIZA LA CREACION DE CENTROS DE EDUC FORMAL EN VARIOS NIVELES - DECRETO 142 27 ABR 1990 CREA PLANTELES Y JORNADAS DE EDUC BASICA SECUNDARIA - ACUERDO 17 1992 CREA CENTROS EDUCATIVOS OFICIALES - 4636 15 DIC 1995 AUTORIZA ABRIR NUEVOS CURSOS EN EDUC BAS SEC Y MEDIA
JUNIO 30 - 2014;1;USAQUEN;111001086681;COLEGIO NUEVO HORIZONTE (IED);;111848004053;BUENAVISTA;02;B;OFICIAL;DISTRITAL;OFICIAL;URBANA;CL 190 # 4 - 15;BUENAVISTA II SECTOR;6799984 -- 6793867;Z-NO INFORMA;cednvohorizonte1@redp.edu.co;Z-NO INFORMA;110141;A;MIXTO;MAÑANA-TARDE;PREESCOLAR-BASICA PRIMARIA;0;1,2,3,4,5;;;PREESCOLAR ESCOLARIZADO;EDUCACION TRADICIONAL;;;Z-NO APLICA;Z-NO APLICA;Z-NO APLICA;VISUAL-COGNITIVA-OTRA;;INDIGENA-AFROCOLOMBIANO;DESPLAZADO;;2;9;VERBENAL;8532;105898,97;118874,48;RES 7437 13 NOV 1998RECONOCIMIENTO OFICIAL PARA EXPEDIR TITULO DE BACHILLER - 3629 12 NOV 1999 RECONOCIMIENTO OFICIAL -2143 (22-07-2002) INTEGRACION - 5581 (11-08-1987) RECONOCE Y LEGALIZA LA EXISTENCIA - 1229 10 ABR 2000 DETERMINA ESTAB EDUC UBICADOS EN ZONAS DE DIFICIL ACCESO
JUNIO 30 - 2014;1;USAQUEN;111001098612;COLEGIO DON BOSCO III (CED);;111001098612;COLEGIO DON BOSCO III (CED);01;A;OFICIAL;DISTRITAL - CONCESION;OFICIAL;URBANA;KR 4 # 187 B - 37;BUENAVISTA;6799077;6799077;cedbosco3@gmail.com;Z-NO INFORMA;110141;A;MIXTO;COMPLETA;PREESCOLAR-BASICA PRIMARIA-BASICA SECUNDARIA-MEDIA;0;1,2,3,4,5;6,7,8,9;10,11;PREESCOLAR ESCOLARIZADO;EDUCACION TRADICIONAL;EDUCACION TRADICIONAL;EDUCACION TRADICIONAL;ACADEMICO;ACADEMICA;Z-NO INFORMA;;;;;;2;9;VERBENAL;8532;105800,47;118631,14;RES 5823 12 SEP 2001 LIC DE FUNCIONAMIENTO - 3840 29 NOV 2002 LIC DE FUNCIONAMIENTO
JUNIO 30 - 2014;1;USAQUEN;111001102059;COLEGIO UNION COLOMBIA (IED);;111848000252;SANTA CLAUDIA;02;B;OFICIAL;DISTRITAL;OFICIAL;URBANA;CL 189 # 7 - 05;TIBABITA;6771356;6694832 -- 6796956;enalpilotodeaplica1@redp.edu.co;Z-NO INFORMA;110141;A;MIXTO;MAÑANA-TARDE;PREESCOLAR-BASICA PRIMARIA;0;1,2;;;PREESCOLAR ESCOLARIZADO;EDUCACION TRADICIONAL;;;Z-NO APLICA;Z-NO APLICA;Z-NO APLICA;;;;DESPLAZADO;;3;9;VERBENAL;8521;105492,27;118721,26;RES 3641 10 SEP 2007 AMPLIA PRESTACION DEL SERVICIO EDUCATIVO - 2953 14 SEP 2011 AUTORIZA CONDICIONES ADMINISTRATIVAS Y ACADEMICAS- 1739 (06-06-2002) INTEGRACION - 3329 16 OCT 2002 ADOPCION NOMBRE - 2406 17 JUL 2000 AUTORIZA PARA REALIZAR EXAMENES DE VALIDACION
JUNIO 30 - 2014;1;USAQUEN;111001102059;COLEGIO UNION COLOMBIA (IED);;111848002671;PILOTO DE APLICACION;01;A;OFICIAL;DISTRITAL;OFICIAL;URBANA;KR 7 A # 182 A - 07;EL ROCIO NORTE;6796956;6771356;enalpilotodeaplica1@redp.edu.co;www.unioncolombia.com;110141;A;MIXTO;MAÑANA-TARDE;BASICA PRIMARIA-BASICA SECUNDARIA-MEDIA;;3,4,5;6,7,8,9;10,11;;EDUCACION TRADICIONAL;EDUCACION TRADICIONAL;EDUCACION TRADICIONAL;TECNICO;OTRA;Z-NO APLICA;;;;DESPLAZADO;;3;9;VERBENAL;8522;105534,97;118054,57;RES 3641 10 SEP 2007 AMPLIA PRESTACION DEL SERVICIO EDUCATIVO - 2953 14 SEP 2011 AUTORIZA CONDICIONES ADMINISTRATIVAS Y ACADEMICAS- 1739 (06-06-2002) INTEGRACION
JUNIO 30 - 2014;1;USAQUEN;111001107743;COLEGIO SALUDCOOP NORTE (IED);;111001107743;SALUDCOOP NORTE;01;A;OFICIAL;DISTRITAL;OFICIAL;URBANA;CL 181 # 18 B - 83;SAN ANTONIO NOROCCIDENTAL;6775954  --  6682102 EXT 104;6682102;secretaria.academica@colsaludcoopnorte.edu.co -- colsaludcoopnorte@redp.edu.co;www.colsaludcoopnorte.edu.co;110141;A;MIXTO;MAÑANA-TARDE;PREESCOLAR-BASICA PRIMARIA-BASICA SECUNDARIA-MEDIA;0;1,2,3,4,5;6,7,8,9;10,11;PREESCOLAR ESCOLARIZADO;EDUCACION TRADICIONAL;EDUCACION TRADICIONAL;EDUCACION TRADICIONAL;ACADEMICO;ACADEMICA;Z-NO INFORMA;AUDITIVA-VISUAL-MOTORA-COGNITIVA-OTRA;;AFROCOLOMBIANO;DESPLAZADO-DESVINCULADO;;2;9;VERBENAL;8528;104125,51;117847,37;RES 7437 13 NOV 1998 RECONOCIMIENTO OFICIAL PARA EXPEDIR TITULO DE BACHILLER - 2734 (04-07-2007) LIC DE FUNCIONAMIENTO - 2594 19 MAR 1997 APRUEBA CREACION Y FUNCIONAMIENTO - 01-0007 17 FEB 2011 AUTORIZA MANEJO DOCUNMENTOS GIM SAN GABRIEL
JUNIO 30 - 2014;1;USAQUEN;111001107743;COLEGIO SALUDCOOP NORTE (IED);;211848000141;TORCA;02;B;OFICIAL;DISTRITAL;OFICIAL;RURAL;KR 7 CL 224 COSTADO SUR ORIENTAL;TORCA;6761875 -- 6761859;6761875;colsaludcoopnorte@redp.edu.co;www.colsaludcoopnorte.edu.co;110151;A;MIXTO;MAÑANA;PREESCOLAR-BASICA PRIMARIA-BASICA SECUNDARIA-MEDIA;0;5;6,7,8,9;10,11;PREESCOLAR ESCOLARIZADO;EDUCACION TRADICIONAL;EDUCACION TRADICIONAL;EDUCACION TRADICIONAL;ACADEMICO;ACADEMICA;Z-NO INFORMA;COGNITIVA;;AFROCOLOMBIANO;DESPLAZADO;;0;UPR 2;CERROS ORIENTALES;SIN SECTOR;105261,23;122598,14;RES 7437 13 NOV 1998 RECONOCIMIENTO OFICIAL PARA EXPEDIR TITULO DE BACHILLER - 2734 (04-07-2007) LIC DE FUNCIONAMIENTO - 2594 19 MAR 1997 APRUEBA CREACION Y FUNCIONAMIENTO - 1024 9 MAR 2001 RECONOCIMIENTO OFICIAL AMPLIACION - 1229 10 ABR 2000 DETERMINA ESTAB EDUC UBICADOS EN ZONAS DE DIFICIL ACCESO - 4636 15 DIC 1995 AUTORIZA ABRIR NUEVOS CURSOS EN EDUC BAS SEC Y MEDIA
JUNIO 30 - 2014;1;USAQUEN;111848000911;COLEGIO DE BACHILLERATO PATRIA;;111848000911;COLEGIO DE BACHILLERATO PATRIA;01;A;OFICIAL;OFICIAL - REGIMEN ESPECIAL;OFICIAL - REGIMEN ESPECIAL;URBANA;CL 100 # 11 - 00;ESCUELA DE INFANTERIA;2147327;2147327;bachilleratopatria@hotmail.com;Z-NO INFORMA;110221;A;MIXTO;COMPLETA;BASICA SECUNDARIA-MEDIA;;;6,7,8,9;10,11;;;EDUCACION TRADICIONAL;EDUCACION TRADICIONAL;ACADEMICO;ACADEMICA;Z-NO INFORMA;;;;;;SIN ESTRATO;14;USAQUEN;8410;103798,95;109625,02;RES 1378 13 NOV 1998 RECONOCIMIENTO OFICIAL Y AUTORIZA PARA OTORGAR TITULO DE BACHILLER - 14667 29 AGOS 1985 APRUEBA ESTUDIOS - 281 16 ABR 1971 LIC FUNCIONAMIENTO AMPLIACION - 06500 3 AGOS 1994 ESTABLECE CARÁCTER DEL PANTEL - 
JUNIO 30 - 2014;1;USAQUEN;111848001046;FUNDACION LA ENSEÑANZA;;111848001046;FUNDACION LA ENSEÑANZA;01;A;NO OFICIAL;PRIVADO;FUNDACION;URBANA;KR 7 A # 186 - 63;TIBABITA;6681847;;funlaensenanza@gmail.com;Z-NO INFORMA;;A;MIXTO;MAÑANA;PREESCOLAR-BASICA PRIMARIA;0;1,2,3,4,5;;;PREESCOLAR ESCOLARIZADO;OTRO ;;;Z-NO APLICA;Z-NO APLICA;Z-NO APLICA;;;;;;Z-NO INFORMA;Z-NO INFORMA;ZZ-NO INFORMA;Z-NO INFORMA;;;Res 2215 2 Jul 2004 LICENCIA DE FUNCIONAMIENTO-OFICIOS CIERRE
JUNIO 30 - 2014;1;USAQUEN;111848002115;LICEO DEL EJERCITO PATRIA SECTOR NORTE A;;111848002115;LICEO DEL EJERCITO PATRIA SECTOR NORTE A;01;A;OFICIAL;OFICIAL - REGIMEN ESPECIAL;OFICIAL - REGIMEN ESPECIAL;URBANA;CL 106 KR 7 CANTON NORTE;ESCUELA DE INFANTERIA;2150545;Z-NO INFORMA;liceopatriaprimaria@hotmail.com;Z-NO INFORMA;110111;A;MIXTO;MAÑANA;PREESCOLAR-BASICA PRIMARIA;0;1,2,3,4,5;;;PREESCOLAR ESCOLARIZADO;EDUCACION TRADICIONAL;;;Z-NO APLICA;Z-NO APLICA;Z-NO APLICA;;;;;;3;Z-NO INFORMA;ZZ-NO INFORMA;Z-NO INFORMA;104361,89;109998,94;Res_423_03-Mar-1993_Aprobacion de Estudios - 8418 2 DIC 1997 AUTORIZA OTORGAR TITULOS Y RECONOCE ESTUDIOS - 7438 13 Nov 1998 RECONOCE OFICIALMENTE Y AUTORIZA PARA EXPEDIR CERTIFICACIONES
JUNIO 30 - 2014;1;USAQUEN;111848002522;INSTITUTO PEDAGOGICO NACIONAL;;111848002522;INSTITUTO PEDAGOGICO NACIONAL;01;A;OFICIAL;OFICIAL - REGIMEN ESPECIAL;OFICIAL - REGIMEN ESPECIAL;URBANA;AC 127 # 11 - 20;SANTA BARBARA ORIENTAL;6276927;6148604;ipn@pedagogica.edu.co;www.pedagogica.edu.co;110121;A;MIXTO;COMPLETA;PREESCOLAR-BASICA PRIMARIA-BASICA SECUNDARIA-MEDIA;-1,0;1,2,3,4,5;6,7,8,9;10,11;PREESCOLAR ESCOLARIZADO;EDUCACION TRADICIONAL;EDUCACION TRADICIONAL;EDUCACION TRADICIONAL;TECNICO;OTRA;Z-NO APLICA;VISUAL-MULTIPLE;;;DESPLAZADO;;6;15;COUNTRY CLUB;Z-NO INFORMA;104862,96;111986,07;Res_1696_26-Jun-1968_APROBACION DE ESTUDIOS - 1378 13 NOV 1998 RECONOCIMIENTO OFICIAL PARA EXPEDIR TITULO DE BACHILLER - 7438 13 Nov 1998 RECONOCIMIENTO OFICIAL PARA EXPEDIR TITULO DE BACHILLER - ACUERDO 028 DEL 2000
JUNIO 30 - 2014;1;USAQUEN;111848002662;COLEGIO USAQUEN (IED);;111848000112;LOS CEDRITOS;02;B;OFICIAL;DISTRITAL;OFICIAL;URBANA;AK 9 # 146 - 40;LOS CEDROS ORIENTAL;2591257;2586668 EXT 103;colescoloniaescola1@redp.edu.co;Z-NO INFORMA;110121;A;MIXTO;MAÑANA-TARDE;BASICA PRIMARIA;;2,3,4,5;;;;EDUCACION TRADICIONAL;;;Z-NO APLICA;Z-NO APLICA;Z-NO APLICA;;;;;;4;13;LOS CEDROS;8509;105060,97;114169,84;RES 5920 18 SEP 2001 RECONOCIMIENTO OFICIAL PARA EXPEDIR CERTIFICACIONES - 1651 (24-05-2002) INTEGRACION- 2594 19 MAR 1997 CREACION Y FUNCIONAMIENTO
JUNIO 30 - 2014;1;USAQUEN;111848002662;COLEGIO USAQUEN (IED);;111848002662;USAQUEN;01;A;OFICIAL;DISTRITAL;OFICIAL;URBANA;CL 127 C # 9 A - 03;LA CAROLINA;6156753 -- 2586668 -- 6156815;2586668 EXT 103;colescoloniaescola1@redp.edu.co;Z-NO INFORMA;110121;A;MIXTO;MAÑANA-TARDE;PREESCOLAR-BASICA PRIMARIA-BASICA SECUNDARIA-MEDIA;0;1,2,3,4,5;6,7,8,9;10,11;PREESCOLAR ESCOLARIZADO;EDUCACION TRADICIONAL;EDUCACION TRADICIONAL;EDUCACION TRADICIONAL;ACADEMICO;ACADEMICA;Z-NO INFORMA;;;;;;6;15;COUNTRY CLUB;8402;104789,84;112201,53;RES 5920 18 SEP 2001 RECONOCIMIENTO OFICIAL PARA EXPEDIR CERTIFICACIONES - 1651 (24-05-2002) INTEGRACION - 2292 2 AGOS 2002 ADOPCION DE NOMBRE
