ESTABLECIMIENTO;DIRECCION;LOCALIDAD;BARRIO;ZONA_SITP;FECHA CORTE
DROGUERIA EL MANA MR;CALLE 44 No 68D - 02 SUR;KENNEDY;LAS DELICIAS;Bosa;01/09/2014
LA TIENDA DE LA BELLEZA Y ALGO MAS;CARRERA 63 No 9 - 16 SUR;KENNEDY;LAS DELICIAS;Bosa;01/09/2014
CIGARRERIA MULTISERVICIOS LA AVENIDA;CALLE 44A SUR No 72A - 63;KENNEDY;LAS DELICIAS;Bosa;01/09/2014
CAFE INTERNET ITH LLAMADAS INTERNET Y PAPELERIA;CARRERA 78K No 33A - 91 SUR;KENNEDY;CIUDAD KENNEDY NORTE;Kennedy;01/09/2014
MISCELANEA Y PAPELERIA CELU-EXPRES;CALLE 35A SUR No 78K - 05 LOCAL 1;KENNEDY;CIUDAD KENNEDY NORTE;Kennedy;01/09/2014
CABINAS TELEFONICAS ATENAS;CARRERA 79G No 35 SUR - 26;KENNEDY;CIUDAD KENNEDY NORTE;Kennedy;01/09/2014
MISCELANEA SANTANA;CARRERA 79C Mo 35 73 SUR;KENNEDY;CIUDAD KENNEDY NORTE;Kennedy;01/09/2014
CAFE INTERNET CROMO 0111;CALLE 44 SUR No 68I - 36 DIRECCION NUEVA;KENNEDY;LAS DELICIAS;Bosa;01/09/2014
TIENDA MERCAEXPRESS 1;CALLE 6C No 94A - 60;KENNEDY;TINTALA;Tintal - Zona Franca;01/09/2014
MISCELANEA COPYKATHY;CALLE 9C No 69 - 25;KENNEDY;MARSELLA;Tintal - Zona Franca;01/09/2014
AGENCIA Y LAVANDERIA;TRANSVERSAL 69B No 9D - 56 LOCAL 3 BLOQUE 17;KENNEDY;MARSELLA;Tintal - Zona Franca;01/09/2014
SOLUCIONES ACADEMICAS SL;CALLE 9D No 69B - 03;KENNEDY;MARSELLA;Tintal - Zona Franca;01/09/2014
MISCELANEA MARA;CARRERA 72U No 43B SUR - 26;KENNEDY;SANTA CATALINA;Bosa;01/09/2014
CAFE INTERNET AURA NET CO;CARRERA 92  No 6C - 39  CASA 109;KENNEDY;TINTALA;Tintal - Zona Franca;01/09/2014
TIENDA GARPI;CARRERA 92 No 6C - 39 CASA 53;KENNEDY;TINTALA;Tintal - Zona Franca;01/09/2014
COMPRAVENTA DONDE SHARIK;CALLE 6C No 94A - 40  TORRE 10 APARTAMENTO 104 NUEVA;KENNEDY;TINTALA;Tintal - Zona Franca;01/09/2014
DROGUERIA PERFUMERIA GABY SAN No 2;CALLE 39 SUR No 68J - 39;KENNEDY;NUEVA YORK;Bosa;01/09/2014
MISCELANEA EMILY;CALLE 6 BIS A No 90A - 50;KENNEDY;TINTALA;Tintal - Zona Franca;01/09/2014
CAFE  INTERNET TELECOMUNICACIONES SOFINET;AVENIDA CALLE 22 SUR No 72M - 41;KENNEDY;PROVIVIENDA ORIENTAL;Kennedy;01/09/2014
CAFE INTERNET CIBER MAO;CALLE 22 SUR No 69C - 34 LOCAL 1;KENNEDY;PROVIVIENDA ORIENTAL;Kennedy;01/09/2014
CAFE INTERNET COMUNICACIONES E INTERNET VALERY;CARRERA 95 No 42A - 17 SUR;KENNEDY;DINDALITO;Kennedy;01/09/2014
DROGUERIA THE NEW FAMILY;CARRERA 93 D  NRO 42 F - 03 SUR;KENNEDY;DINDALITO;Kennedy;01/09/2014
CAFE INTERNET NINER TELECOMUNICACIONES;CALLE 42C SUR No 89C 82;KENNEDY;DINDALITO;Kennedy;01/09/2014
CAFE INTERNET INTERBOX DJ;CARRERA 91 No 42A - 25 SUR;KENNEDY;DINDALITO;Kennedy;01/09/2014
CAFE INTERNET SANTY COMUNICACIONES;CALLE 57A SUR No 80 - 34;KENNEDY;CLASS;Bosa;01/09/2014
CAFE INTERNET CEITEL DE LA ALQUERIA DE LA FRAGUA;CARRERA 68D No 36 - 24 SUR LOCAL 2;KENNEDY;ALQUERIA LA FRAGUA NORTE;Bosa;01/09/2014
MISCELANEA MUNDO ASEO SOFI;CARRERA 68K No 39C - 10 SUR;KENNEDY;NUEVA YORK;Bosa;01/09/2014
PAPELERIA EL QUIJOTE;CARRERA 78 No 35 SUR - 11;KENNEDY;CIUDAD KENNEDY ORIENTAL;Kennedy;01/09/2014
DROGUERIA YIREH;CALLE 11 B  NRO 81 F - 09;KENNEDY;VERGEL OCCIDENTAL;Tintal - Zona Franca;01/09/2014
MISCELANEA VIVAR COMUNICACIONES;CALLE 13 N° 80C -13;KENNEDY;VERGEL OCCIDENTAL;Tintal - Zona Franca;01/09/2014
PAPELERIA DULCERIA D Y C;CARRERA 78K No 37 - 11 SUR;KENNEDY;CIUDAD KENNEDY NORTE;Kennedy;01/09/2014
CABINAS TELEFONICAS GENTE FASHION COM;CALLE 33A SUR No 78 - 30;KENNEDY;CIUDAD KENNEDY ORIENTAL;Kennedy;01/09/2014
PAPELERIA Y MISCELANEA JUANFITO;CARRERA 92 No 6C - 39 CASA 90;KENNEDY;TINTALA;Tintal - Zona Franca;01/09/2014
CAFE INTERNET MUNDO VIRTUAL;CARRERA 78K No 33A - 51 SUR;KENNEDY;CIUDAD KENNEDY NORTE;Kennedy;01/09/2014
CAFE INTERNET WEB COMUNICACIONES 1;CALLE 36 SUR No 79B LOCAL 10;KENNEDY;CIUDAD KENNEDY NORTE;Kennedy;01/09/2014
CAFE INTERNET JUAN HIGUERA;CALLE 42F SUR No 88G - 11;KENNEDY;DINDALITO;Kennedy;01/09/2014
CAFE INTERNET COMUNICACIONES PYP;CARRERA 89A No 42D - 17 SUR;KENNEDY;DINDALITO;Kennedy;01/09/2014
CABINAS TELEFONICAS TELECOMUNICACIONES EMANUEL;CALLE 42F SUR No 87G - 07 PISO 1;KENNEDY;DINDALITO;Kennedy;01/09/2014
DROGUERIA SAMA PILI;CARRERA 81 A  NRO 11 D - 02;KENNEDY;VERGEL OCCIDENTAL;Tintal - Zona Franca;01/09/2014
ANGINET.COM;CALLE 38 88 13  SUR;KENNEDY;EL PARAISO BOSA;Kennedy;01/09/2014
PAPELERIA ROSS;CARRERA 19A No  6A - 20;KENNEDY;OSORIO II;Tintal - Zona Franca;01/09/2014
CAFE INTERNET DONDE LLAMAS D OMAR 2;CALLE 15A No 81D -12;KENNEDY;VERGEL OCCIDENTAL;Tintal - Zona Franca;01/09/2014
CAFE INTERNET MARY STELLA URREGO JIMENEZ;CARRERA 81C No 13A - 55 LOCAL 2;KENNEDY;VERGEL OCCIDENTAL;Tintal - Zona Franca;01/09/2014
DROGUERIA FARMAEXPRESS LC;CALLE 40K No 74D - 91;KENNEDY;TIMIZA;Bosa;01/09/2014
CAFE INTERNET V Y R COMUNICACIONES;CARRERA 73 No 40 - 19 SUR LOCAL 1;KENNEDY;TIMIZA;Bosa;01/09/2014
CAFE INTERNET VICTOR TIBOCHA;CARRERA 73C BIS No 38C - 03 SUR;KENNEDY;TIMIZA;Bosa;01/09/2014
AUTOSERVICIO SUPERTIENDAS EXITO;CARRERA 79 No 57G - 10 SUR;KENNEDY;EL RUBI;Bosa;01/09/2014
PAPELERIA Y MISCELANEA COMUNICACIONES BP;CARRERA 79 No 57B - 14 SUR;KENNEDY;EL RUBI;Bosa;01/09/2014
CABINAS TELEFONICAS TELECOMUNICACIONES NIKOL;CARRERA 68 M  NRO 38 D - 26 SUR;KENNEDY;PROVIVIENDA;Bosa;01/09/2014
CAFE INTERNET XBOX CABINAS;CALLE 35 SUR No 68M - 84;KENNEDY;PROVIVIENDA;Bosa;01/09/2014
PAPELERIA NICO Y ALE;CALLE 6A No 89 - 47  LOCAL 4;KENNEDY;TINTALA;Tintal - Zona Franca;01/09/2014
CAFE INTERNET COMUNICATEL FONSECA;CARRERA 80C No 13 - 10;KENNEDY;PROVIVIENDA;Bosa;01/09/2014
CAFE INTERNET CENTRO DE COMUNICACIONES COM;CARRERA 68M No 37B - 22 SUR;KENNEDY;PROVIVIENDA;Bosa;01/09/2014
PAPELERIA LUIS MADERO;CALLE 41B SUR No  78P - 22;KENNEDY;CIUDAD KENNEDY SUR;Kennedy;01/09/2014
NICO Y ALE;CALLE  2 No  91 - 10 LOCAL 7;KENNEDY;OSORIO III;Kennedy;01/09/2014
MISCELANEA Y PAPELERIA ABC;AVENIDA CALLE 43 SUR NRO 80 F - 17;KENNEDY;CHUCUA DE LA VACA I;Kennedy;01/09/2014
DROGUERIA FLORALIA;CARRERA 68I No 31A - 10 SUR LOCAL 3;KENNEDY;PROVIVIENDA;Bosa;01/09/2014
CAFE INTERNET PRIMAVERA;CARRERA 90A No 5A - 45 SUR CASA 229;KENNEDY;OSORIO III;Kennedy;01/09/2014
MISCELANEA Y PAPELERIA EL AMPARO;CALLE 41F SUR No 80I - 04;KENNEDY;CHUCUA DE LA VACA II;Kennedy;01/09/2014
PAPELERIA JUGUETES Y PAPELES SANTY Y CAMI;CALLE 2 No 91C - 85 CASA 176;KENNEDY;OSORIO III;Kennedy;01/09/2014
CABINAS TELEFONICAS SERVICIOS Y SOLUCIONES TI;CALLE 26 SUR N 93 D - 68;KENNEDY;OSORIO III;Kennedy;01/09/2014
DROGUERIA NUEVA VIDA I;CALLE 49 SUR No 78 - 86;KENNEDY;JACQUELINE;Bosa;01/09/2014
CAFE INTERNET  PAPYRUS COM;CALLE 50 SUR No  77V  33;KENNEDY;JACQUELINE;Bosa;01/09/2014
CAFE INTERNET CLUB NET STAR;CALLE 2  NRO 89 D - 37;KENNEDY;OSORIO III;Kennedy;01/09/2014
CAFE INTERNET JALSAM;CALLE 26 SUR No 93D - 68 SALON COMUNAL;KENNEDY;OSORIO III;Kennedy;01/09/2014
CAFE INTERNET COMUNICACIONES MONTE CARMELO;CARRERA 93 SUR No 6B - 50 CENTRO COMERCIAL CIUDAD TINTAL LOCAL 12;KENNEDY;OSORIO III;Kennedy;01/09/2014
INTERNET EL PARAISO;CALLE 45 SUR No 72Q - 57;KENNEDY;BOITA;Bosa;01/09/2014
DISTRIBUIDORA DE LACTEOS LINA MARIA;CALLE 45 SUR No 72I - 67;KENNEDY;BOITA;Bosa;01/09/2014
CABINAS E INTERNET NAVEG@NDO;CALLE 33 SUR No 87 20 SUR LOCAL 2;KENNEDY;PATIO BONITO;Kennedy;01/09/2014
PAPELERIA COPIAS KENNEDY;CALLE 35A SUR No 78A - 37;KENNEDY;CIUDAD KENNEDY ORIENTAL;Kennedy;01/09/2014
MISCELANEA PAPELERIA;CALLE 39C SUR 73F - 74;KENNEDY;CIUDAD KENNEDY ORIENTAL;Kennedy;01/09/2014
PAPELERIA NUEVA ESTACION 8;CARRERA 78 No 31C - 33 SUR;KENNEDY;CIUDAD KENNEDY ORIENTAL;Kennedy;01/09/2014
CAFE INTERNET OTHERSIDE;CALLE 35B SUR No 73A - 73;KENNEDY;CIUDAD KENNEDY ORIENTAL;Kennedy;01/09/2014
SIN BOGOTA KENNEDY;CARRERA 78B No 38 - 86 SUR LOCAL A2 - 2;KENNEDY;CIUDAD KENNEDY ORIENTAL;Kennedy;01/09/2014
MISCELANEA Y JUGUETERIA YENNY;CARRERA 79 No 41D - 09;KENNEDY;CIUDAD KENNEDY OCCIDENTAL;Kennedy;01/09/2014
MISCELANEA Y PAPELERIA ALEMAN;CALLE 39 A SUR No 79F - 17;KENNEDY;CIUDAD KENNEDY OCCIDENTAL;Kennedy;01/09/2014
ACCESORIOS Y SERVICIO TECNICO JARE CELL COMUNICACIONES;AVENIDA CARRERA 80 No 42 - 24 SUR;KENNEDY;CIUDAD KENNEDY OCCIDENTAL;Kennedy;01/09/2014
DROGUERIA SALUD D Y C;AVENIDA CALLE 43 SUR No 79F - 24;KENNEDY;CIUDAD KENNEDY OCCIDENTAL;Kennedy;01/09/2014
ALMACEN DE VARIEDADES LA TIENDA DE DONA JOSE;CARRERA 80 No 39A - 28 SUR;KENNEDY;CIUDAD KENNEDY OCCIDENTAL;Kennedy;01/09/2014
DROGUERIA NUEVA GENERACION;CALLE 49 SUR No 81B - 04;KENNEDY;GRAN BRITALIA I;Kennedy;01/09/2014
CAFE INTERNET AFC COMPUCLUB 360;CALLE 49 SUR No 80J - 22;KENNEDY;GRAN BRITALIA I;Kennedy;01/09/2014
SIN BOGOTA KENNEDY AVENIDA P DE MAYO;TRANSVERSAL  73D No 39A - 59 SUR;KENNEDY;CIUDAD KENNEDY ORIENTAL;Kennedy;01/09/2014
CAFETERIA CAMINICO;CALLE 2B No 69D - 47;KENNEDY;HIPOTECHO OCCIDENTAL;Kennedy;01/09/2014
SERVICIO DE PUBLICIDAD INNOVARTE DISENOS E IMPRESIONES;CARRERA 70B No 2A - 20;KENNEDY;HIPOTECHO OCCIDENTAL;Kennedy;01/09/2014
CABINA TELEFONICAS CENTRO NACIONAL DE ACTIVACIONES;CALLE 35 SUR No 78 - 15;KENNEDY;CIUDAD KENNEDY ORIENTAL;Kennedy;01/09/2014
VENTA DE COMPUTADORES B Y N TECNICOS EN INFORMATICA Y COMUNICACION;CALLE 42A SUR No 80G - 15;KENNEDY;CHUCUA DE LA VACA I;Kennedy;01/09/2014
CAFE INTERNET COMUNICACIONES Y PAPELERIA SAMMY COM;CARRERA 73D No 35 - 43 SUR;KENNEDY;CIUDAD KENNEDY ORIENTAL;Kennedy;01/09/2014
MISCELANEA INTERRAPIDISIMO;CALLE 36 No 73D - 47 SUR;KENNEDY;CIUDAD KENNEDY ORIENTAL;Kennedy;01/09/2014
DISTRIBUIDORA DE PRODUCTOS DE ASEO EL CRISTAL;CARRERA 77 No 36 SUR 17;KENNEDY;CIUDAD KENNEDY ORIENTAL;Kennedy;01/09/2014
CABINAS TELEFONICAS TELE RED;CARRERA 78N No 35C - 63 SUR;KENNEDY;CIUDAD KENNEDY ORIENTAL;Kennedy;01/09/2014
CAFE INTERNET TELEWORLD COMUNICACIONES;CARRERA 73D No 35B - 31 SUR;KENNEDY;CIUDAD KENNEDY ORIENTAL;Kennedy;01/09/2014
COMERCIALIZADORA PAPELNET COM;CALLE 12C No 71C - 31 LOCAL 10S;KENNEDY;VILLA ALSACIA;Tintal - Zona Franca;01/09/2014
PAPELERIA Y MISCELANEA TORRES DE VILLA ALSACIA;CALLE 12C No 71C - 30 CLUB HOUSE ADMINISTRACIO;KENNEDY;VILLA ALSACIA;Tintal - Zona Franca;01/09/2014
CAFE INTERNET SANTIAMUELS;CALLE 8 SUR No 68B - 11;KENNEDY;PROVIVIENDA ORIENTAL;Kennedy;01/09/2014
PAPELERIA JUAN ANDRES NENES;CALLE 22 SUR No 69A - 17;KENNEDY;PROVIVIENDA ORIENTAL;Kennedy;01/09/2014
CAFE INTERNET J@ Y;CALLE 49 SUR No 81B - 29;KENNEDY;GRAN BRITALIA;Kennedy;01/09/2014
CAFE INTERNET SAKURA 2;CALLE 54 SUR No 80I - 10;KENNEDY;GRAN BRITALIA;Kennedy;01/09/2014
CAFE INTERNET TRIPLEDOBLE U;CALLE 54 SUR No 81B - 27;KENNEDY;GRAN BRITALIA;Kennedy;01/09/2014
MISCELANEA GERAL ZONE;CARRERA 90C No 6A - 89 CASA 397;KENNEDY;TINTALA;Tintal - Zona Franca;01/09/2014
CAFE INTERNET EL MUNDO DE LAS COMUNICACIONES 2;CALLE 7A BIS C No 78D 12;KENNEDY;CASTILLA;Tintal - Zona Franca;01/09/2014
CAFE INTERNET PORTAL COM;CALLE 51 SUR No 78N - 16;KENNEDY;PASTRANA;Kennedy;01/09/2014
VARIEDADES Y DESCUENTOS MAVAR;CALLE 7 No 92A - 56 LOCAL 3;KENNEDY;TINTALA;Tintal - Zona Franca;01/09/2014
CAFE INTERNET LUZ BOHORQUEZ;CALLE 7 No 93 - 35 CASA 248 MANZANA 1 LOTE 1;KENNEDY;TINTALA;Tintal - Zona Franca;01/09/2014
DEPRISA KENNEDY CENTRO;CALLE 36 SUR NO. 74 - 07;KENNEDY;CIUDAD KENNEDY ORIENTAL;Kennedy;01/09/2014
MICELANEA DON PACHO;CARRERA 73 D 37  - 04  SUR;KENNEDY;CIUDAD KENNEDY ORIENTAL;Kennedy;01/09/2014
CAFE INTERNET MULTISERVICIOS CASABLANCA;CARRERA 79 C No 47B - 38 SUR;KENNEDY;CASABLANCA;Kennedy;01/09/2014
CAFE INTERNET ALEJA COM;CALLE 33 SUR No 87C 04;KENNEDY;PATIO BONITO;Kennedy;01/09/2014
CAFE INTERNET ALEJO COMUNICACIONES JP;CALLE 18 No 28 - 39;LOS MARTIRES;PALOQUEMAO;Zona Neutra;01/09/2014
CAFE INTERNET COPIAS PALOQUEMAO;CALLE 18 No 28A - 32;LOS MARTIRES;PALOQUEMAO;Zona Neutra;01/09/2014
CAFE INTERNET COMUNICACIONES SIMONA;TRANSVERSAL 22A No 5 - 23;LOS MARTIRES;EL PROGRESO;Zona Neutra;01/09/2014
CAFE INTERNET TELECOMUNIKING;CALLE 1 B No 27 - 10;LOS MARTIRES;SANTA ISABEL SUR;Zona Neutra;01/09/2014
PAPELERIA JEDISMAR SAS;CARRERA 24 No 6 - 51;LOS MARTIRES;RICAURTE;Zona Neutra;01/09/2014
PAPELERIA EL PINGUINO 2;CALLE 8  SUR No 32A - 04 SUR;LOS MARTIRES;SANTA ISABEL SUR;Zona Neutra;01/09/2014
PAPELERIA Y MISCELANEA MADRIGAL;AVENIDA CALLE 8 SUR No 32 - 22;LOS MARTIRES;SANTA ISABEL SUR;Zona Neutra;01/09/2014
FOTO DEPRISSA;CARRERA 27 No 18 - 60;LOS MARTIRES;PALOQUEMAO;Zona Neutra;01/09/2014
CAFE INTERNET MATH PUBLICIDAD;CARRERA 27A No 1B - 27 LOCAL 1;LOS MARTIRES;SANTA ISABEL SUR;Zona Neutra;01/09/2014
CIGARRERIA LA OCTAVA AC;AVENIDA CARRERA 30 No 0 - 10 PRIMER PISO;LOS MARTIRES;SANTA ISABEL SUR;Zona Neutra;01/09/2014
VARIEDADES DE TODO UN POQUITO;CARRERA 29 No 1D -43;LOS MARTIRES;SANTA ISABEL SUR;Zona Neutra;01/09/2014
DROGUERIA HOSPITALARIA A P E;AVENIDA CARACAS No 1 - 05 LOCAL 42;LOS MARTIRES;EDUARDO SANTOS;Zona Neutra;01/09/2014
CAFE INTERNET COMUNICACIONES GAR;CALLE 22 No 14 - 30;LOS MARTIRES;SANTA FE;Zona Neutra;01/09/2014
CAFE INTERNET AYD COMUNICACIONES NET;CALLE 1F No 21 - 42;LOS MARTIRES;EL VERGEL;Zona Neutra;01/09/2014
CAFE INTERNET SERVIEX;CALLE 1F No 23A - 55;LOS MARTIRES;EL VERGEL;Zona Neutra;01/09/2014
MISCELANEA Y PAPELERIA RAFFLE;CALLE 2 No 21 20;LOS MARTIRES;EL VERGEL;Zona Neutra;01/09/2014
DISTRIBUIDORA DISTRIDESECHABLES LA GUADALUPANA;CARRERA 24 No 2 A - 07;LOS MARTIRES;EL VERGEL;Zona Neutra;01/09/2014
CAFE INTERNET ORIGAMI CONSTRUCTORES;CARRERA 23A No 1D - 23;LOS MARTIRES;EL VERGEL;Zona Neutra;01/09/2014
CAFE INTERNET MISCALANEA Y PAPELERIA CHONCHITO;CARRERA 24B NO 1D-3;LOS MARTIRES;EL VERGEL;Zona Neutra;01/09/2014
MISCELANEA Y PAPELERIA CECI;CARRERA 22 No 22A - 11;LOS MARTIRES;SAMPER MENDOZA;Zona Neutra;01/09/2014
SIN LA PAPITA COMERCIALIZADORA HORIZONTE;CALLE 10 No 19A - 54;LOS MARTIRES;LA PEPITA;Zona Neutra;01/09/2014
INTERRAPIDISIMO MIREYA FAJARDO;CALLE 10 No 19A - 30 LOCAL 2;LOS MARTIRES;LA PEPITA;Zona Neutra;01/09/2014
CAFETERIA Y RESTAURANTE DONDE INES;CALLE 13 No 22 34;LOS MARTIRES;PALOQUEMAO;Zona Neutra;01/09/2014
CAFE INTERNET CARLOCHE COMUNICACIONES;CARRERA 27 No 2 - 29;LOS MARTIRES;SANTA ISABEL;Zona Neutra;01/09/2014
DEPRISA PALOQUEMAO;CALLE 15 NO. 22 - 89;LOS MARTIRES;PALOQUEMAO;Zona Neutra;01/09/2014
TIENDA Y MISCELANEA DIANITA;CARRERA 26 No 5A - 06;LOS MARTIRES;EL PROGRESO;Zona Neutra;01/09/2014
CAFE INTERNET CARACAS;AVENIDA CARACAS No 1 - 01 LOCAL 33;LOS MARTIRES;EDUARDO SANTOS;Zona Neutra;01/09/2014
SERVICIO TECNICO DE  TELEFONIA SABRI;CALLE 4 No 16 - 46;LOS MARTIRES;EDUARDO SANTOS;Zona Neutra;01/09/2014
PAPELERIA CINDY ALARCON;CARRERA 18 No 1C - 69;LOS MARTIRES;EDUARDO SANTOS;Zona Neutra;01/09/2014
MISCELANEA DANIELA FRANCO;DIAGONAL 2 A No 18A - 33 -37;LOS MARTIRES;EDUARDO SANTOS;Zona Neutra;01/09/2014
CAFE INTERNET DIP MARKETING 1;CARRERA 27 No 5- 24;LOS MARTIRES;EL PROGRESO;Zona Neutra;01/09/2014
CAFE INTERNET CITYNET CA 27;CARRERA 27 No 13 - 77;LOS MARTIRES;PALOQUEMAO;Zona Neutra;01/09/2014
EN LA MISCELANEA DE CELL;CARRERA 18 No 1C - 07;LOS MARTIRES;EDUARDO SANTOS;Zona Neutra;01/09/2014
CAFE INTERNET INTERACCION CAMI;CALLE 2 BIS No 16 - 04;LOS MARTIRES;EDUARDO SANTOS;Zona Neutra;01/09/2014
REPARACION DE COMPUTADORES SIES LTDA;CARRERA 20 No 8 - 18 PISO 1;LOS MARTIRES;LA ESTANZUELA;Zona Neutra;01/09/2014
MISCELANEA DE TODITO 2014;CARRERA 20A No 7 - 87;LOS MARTIRES;LA ESTANZUELA;Zona Neutra;01/09/2014
CAFE INTERNET LLAMADA COPIALINA COM;DIAGONAL 4A No 18C - 18;LOS MARTIRES;LA ESTANZUELA;Zona Neutra;01/09/2014
MISCELANEA DE TODITO 1;CARRERA 19A No 6A - 31;LOS MARTIRES;LA ESTANZUELA;Zona Neutra;01/09/2014
TIENDA DONDE CONSUELITO;CARRERA 16 No 4 - 60;LOS MARTIRES;EDUARDO SANTOS;Zona Neutra;01/09/2014
CAFE INTERNET EBENEZER;AVENIDA CARACAS No 1 - 01;LOS MARTIRES;EDUARDO SANTOS;Zona Neutra;01/09/2014
DEPRISA LA ESTANZUELA;CALLE 6 NO 19 - 38;LOS MARTIRES;LA ESTANZUELA;Zona Neutra;01/09/2014
CAFE INTERNET COPIA-LINA;CARRERA 18 No 9 - 08;LOS MARTIRES;VOTO NACIONAL;Zona Neutra;01/09/2014
FERRETERIA LAMINAS Y CORTES LA 27;CARRERA 27 No 6 - 69;LOS MARTIRES;RICAURTE;Zona Neutra;01/09/2014
AGENCIA DE VIAJES AVIMARCOT LTDA;CARRERA 28 No 11 - 65 LOCAL 125;LOS MARTIRES;RICAURTE;Zona Neutra;01/09/2014
CAFE  INTERNET COMUNICACIONES LA SABANA;CARRERA 19 NO 12 - 52 LOCAL 06;LOS MARTIRES;VOTO NACIONAL;Zona Neutra;01/09/2014
CAFE INTERNET PUNTO NET SISTEM OFFICE;CARRERA 28 No 10 - 86;LOS MARTIRES;RICAURTE;Zona Neutra;01/09/2014
DROGUERIA MEDIC AR;CALLE 12 No 27 - 40;LOS MARTIRES;RICAURTE;Zona Neutra;01/09/2014
CENTRO MEMORIA;AV. EL DORADO CON CARRERA 26;LOS MARTIRES;FLORIDA;Zona Neutra;01/09/2014
DROGUERIA HIPERDROGUERIA FARMACOS 1;CALLE 3 No 25A - 02;LOS MARTIRES;VERAGUAS;Zona Neutra;01/09/2014
CELUCENTRO PUNTO 17;CALLE 13 No 17 - 63;LOS MARTIRES;VOTO NACIONAL;Zona Neutra;01/09/2014
CAFE INTERNET EQUIPHOTEL J Y J;CARRERA 24 No 8 - 54 LOCAL 1;LOS MARTIRES;LA PEPITA;Zona Neutra;01/09/2014
CAFE INTERNET FOTOCOPIAS LA 38;CARRERA 28A No 17 - 67;LOS MARTIRES;PALOQUEMAO;Zona Neutra;01/09/2014
CABINAS TELEFONICAS SAMA COMUNICACIONES;CARRERA 27 No 4 - 41;LOS MARTIRES;VERAGUAS;Zona Neutra;01/09/2014
CAFE INTERNET COMCEL JANETH;CARRERA 15 No 6 - 29;LOS MARTIRES;LA ESTANZUELA;Zona Neutra;01/09/2014
CABINAS TELEFONICAS TELECOMUNICACIONES RG;CARRERA 18 No 7A - 35;LOS MARTIRES;LA ESTANZUELA;Zona Neutra;01/09/2014
PAPELERIA LA SEXTA;CALLE 7 No 14 - 22;LOS MARTIRES;LA ESTANZUELA;Zona Neutra;01/09/2014
CAFE INTERNET LA ESQUINA DEL MOVIMIENTO;CALLE 7 No 24 11;LOS MARTIRES;RICAURTE;Zona Neutra;01/09/2014
CAFE INTERNET JL COMUNICACIONES 2011;CARRERA 19A No 8A - 36 LOCAL 001;LOS MARTIRES;LA PEPITA;Zona Neutra;01/09/2014
CABINAS TELEFONICAS YANETH CLEMENCIA DIAZ CAMARGO;DIAGONAL 23 BIS No 19 - 34;LOS MARTIRES;SANTA FE;Zona Neutra;01/09/2014
CAFE INTERNET EPSILON PRODUCCIONES Y EVENTOS;CARRERA 24 No 10 - 44 LOCAL 3031;LOS MARTIRES;LA PEPITA;Zona Neutra;01/09/2014
MISCELANEA MARIA REY;CARRERA 25 No 7 - 45;LOS MARTIRES;RICAURTE;Zona Neutra;01/09/2014
ARTICULOS DE ELECTRONICA MISTIOVENTAS;CARRERA 19 No 12 - 82 LOCAL H 303 FERROCARRIL PLAZA;LOS MARTIRES;VOTO NACIONAL;Zona Neutra;01/09/2014
MENSAJERIA CELUCOM M;CARRERA 18 No 8 - 40;LOS MARTIRES;VOTO NACIONAL;Zona Neutra;01/09/2014
CAFE INTERNET COMUNICACIONES R@MJR;CARRERA 26 No 23A - 53;LOS MARTIRES;SAMPER MENDOZA;Zona Neutra;01/09/2014
ENVIOS INTERRAPIDISIMO RICAURTE;CARRERA 24 No 8 - 75 LOCAL 16;LOS MARTIRES;RICAURTE;Zona Neutra;01/09/2014
CAFE INTERNET VIDEO INTERNET PLANET RED;TRANSVERSAL 28 No 22C - 24;LOS MARTIRES;SAMPER MENDOZA;Zona Neutra;01/09/2014
CAFE INTERNET INTERRAPIDISIMO;TRANSVERSAL 22 No 19 - 14;LOS MARTIRES;EL LISTON;Zona Neutra;01/09/2014
PAPELERIA CANO SHOPPING COPY COLOR;CALLE 24 A No 69B - 95 LOCAL 2;LOS MARTIRES;RICAURTE;Zona Neutra;01/09/2014
CAFE INTERNET TELECOMUNICACIONES KEVIN CAMILO;CALLE 10 No 27 - 82 LOCAL 101;LOS MARTIRES;RICAURTE;Zona Neutra;01/09/2014
PARQUEADERO SAN DIEGO DE LA 28;CARRERA 28 No 12 - 14;LOS MARTIRES;RICAURTE;Zona Neutra;01/09/2014
ALMACEN MAITE ROPA Y ACCESORIOS;CARRERA 24 No 8 - 81 LOCAL 2;LOS MARTIRES;RICAURTE;Zona Neutra;01/09/2014
PAPELERIA CAFE INTERNET K LIUX;CALLE 3 No 23A - 16;LOS MARTIRES;EL PROGRESO;Zona Neutra;01/09/2014
DEPRISA RICAURTE;CALLE 9 No 28A - 17;LOS MARTIRES;RICAURTE;Zona Neutra;01/09/2014
CAFE INTERNET RL CIBER INTERNET;CARRERA 22 NO 10 - 45 CENTRO COMERCIAL PUERTA GRANDE LOCAL B 202;LOS MARTIRES;LA PEPITA;Zona Neutra;01/09/2014
CABINAS TELEFONICAS CABINAS DANIEL;AVENIDA CALLE 19 No 25 - 04;LOS MARTIRES;PALOQUEMAO;Zona Neutra;01/09/2014
CAFE INTERNET AGROMAQUINAS Y SERVICIOS MC;CARRERA 27 No 10 - 37;LOS MARTIRES;RICAURTE;Zona Neutra;01/09/2014
